Business_Name,User,Rating,Date,Review_Text
KFC Madurai,dts logu,5.0,4 years ago,"Madurai's best hangout place during evening time, this KFC is one of the best and oldest in Madurai, Good atmosphere and hygienic place to have good times with family and friends. Good quality of food and always little crowded in the evenings and weekends. A must visit place!!!"
KFC Madurai,RUTH SAMLEE,3.0,9 months ago,"Was good but somewhat can feel raw smell
But taste wise everything is good"
KFC Madurai,Venkatesh RS,5.0,5 years ago,Madurai's first KFC. Everyone in the Madurai City delighted to crunch the chicken here. One of the best weekend out place
KFC Madurai,Imran khan b,1.0,8 months ago,"Very hygiene delivery point , warm welcome parking point (13.09.2025)11.30 am"
KFC Madurai,sarath kumar,5.0,5 months ago,Better avoid this KFC.. Taste totally different from other KFC..
KFC Madurai,Prashanth S,1.0,a year ago,"Worst customer service. The staff and manager don't know how to talk to customers, even though the fault is theirs. I ordered a takeout bucket chicken and two cheeseburgers with a bag. However, they packed the burgers without cheese, and they didn't provide me with a bag, which I paid for. During the pickup, I noticed there was no bag, so I asked, and the staff said they didn't have a bag & cheese. When I asked why they didn't inform me, I wanted to know how they packed my orders without informing me. She simply told me, I will give you a dip, just take it, that's all I can do. When I asked, What kind of attitude is this? she replied, Your cheese is just 15 rupees; I am giving you 30 rupees dip, just take it and leave. Even though I paid for two cheeseburgers which is 30rs, it felt like she was acting as if she was giving me something for free. When I asked for the manager, he came and simply said, I am sorry. When I asked how his staff could talk to customers like that, especially since it was her mistake not to inform me that the cheese and bag were unavailable, he said, I will say sorry; other than that, what do you expect me to do? I am saying sorry now. I really don't understand how they can talk to customers like this. Very poor service. They first need to learn how to communicate with customers."
KFC Madurai,Nidhila Naz,1.0,11 months ago,"- Wrong Delivery & No Response from Outlet (SS Colony Bypass Road)
Details: I placed an order yesterday (Wednesday Special for ₹399 + 2 Double Down Burgers + 1 Pepsi) from your SS Colony Bypass Road outlet. However, the delivery boy delivered the wrong items, which was fewer than  i ordered. When questioned, he fled and switched off his phone. The outlet has been unresponsive despite repeated attempts over the past 24 hours.
This is pure cheating"
KFC Madurai,karthi raj,5.0,6 months ago,Nice one atmospheric with good location on peacefull place
KFC Madurai,kannan Kaliappan,1.0,4 years ago,"Disappointed with taste. Is it really kfc?
Local brands tastes better than this
Better avoid this shop"
KFC Madurai,Theri Muthu Selvam,2.0,Edited 2 years ago,The chicken was not fried properly and we were served in an uncleaned plate. Worst KFC in Madurai.
KFC Madurai,Pandi Balaram,1.0,Edited 11 months ago,Only the brand name is running this restaurant... The taste of the food is average... The dining hall is not neat and clean... Workers also never responded to the customers... Inside of the restaurant order machines are only designed for elite people not for the middle class...
KFC Madurai,Vinoth Kumar,5.0,7 months ago,Very nice experience with in all time favorite store ...
KFC Madurai,sangaiah palanisamy,1.0,a year ago,"One of the worst kfc center ever I’ve been inadequate staffing ultra slow service my ordered time is 1320 I’m writing this @1344 still I haven’t collected my food staffs telling that they are focused on dine in rather than take away just one question to management everyone is paying right furthermore toilet is literally hell to be there stinks like a sewage treatment plant they are not mopping tables as well I would rank this worst kfc outlet in the world they have to take serious action otherwise kfc would lose their reputation

Thank you in advance if you guys take action on these issues"
KFC Madurai,Jaya Surya,5.0,2 months ago,Very satisfied the customer service
KFC Madurai,Nithika,3.0,a year ago,"Crispy chicken is always the best! Smoky red grill chicken, on the other hand, isn't very spicy. Unfortunately, the double chicken roll was a disappointment. It's not worth the money - it's just a roll with crispy chicken and chapati. They took a long time to prepare that roll. I wouldn't recommend trying that roll. The restaurant didn't maintain good cleanliness. The staff only cleaned the table after you asked them to."
KFC Madurai,Vinodh Bila,1.0,10 months ago,"I doubt if it's KFC or some local 3rd rated food chain. No value for money, no taste and absolutely clueless. Probably KFC only focus on tier 1 cities. Stay away unless if you are going to die out of food."
KFC Madurai,Naresh Ammu,4.0,a year ago,Atmosphere and taste wise prefect place to eat but service is tooo slow. Even gave order also taking long time(more than 30 mins to order) they said  because of server issue. Such a big brand you are so maintain a server properly because all are have lot schedules in busy time. So consider this issue quickly don't repeat again.
KFC Madurai,Hepzi Marjori,1.0,4 months ago,Unprofessional staff with no customer service qualities..
KFC Madurai,Baala Yogi,1.0,a year ago,The food was not cooked properly… order was delayed by 56 minutes… complement was not given for delay… staff did not give proper response
KFC Madurai,ISRAEL M,5.0,4 years ago,"Good place with nice ambience...
Tasty chicken..."
KFC Madurai,Ratchagan Ambalavanan,1.0,a year ago,Making late and the chicken is not fresh nd crispy even its not heated 🤯
KFC Madurai,ʀᴀᴊᴀ ɢᴏᴘᴀʟ,1.0,a year ago,"Subject: Complaint Regarding Poor Service at KFC

Dear KFC Customer Service,

I am writing to express my disappointment with the service I have consistently received at multiple KFC locations. Every time I visit, I experience poor customer service, including:
•	Delayed food service – Orders take an unreasonably long time to be served.
•	Unresponsive staff – Employees are often engaged in personal conversations or inattentive to customers.
•	Lack of professionalism – Service staff do not provide proper responses or assistance when needed.

This has happened on multiple occasions, and it is frustrating as a loyal customer. I expect better service and professionalism from a brand like KFC. Please take necessary action to improve the service quality at your outlets"
KFC Madurai,late ωιηηєя,5.0,9 months ago,"Very big atmosphere and good and neat
I ordered epic budget 9 pcs chickens crispy and tasty"
KFC Madurai,Gangadharan N S,5.0,2 years ago,Good taste and location. But need some improvement in Service. Even if you purchase food for 10 people they themselves won't provide additional plates. They simply watch and move. We've to ask. But it's common sense to provide while dine in even though it's self service
KFC Madurai,Gayathri Chandran,5.0,5 months ago,Good nature and best quality food
KFC Madurai,Mohamed Aabith,5.0,Edited a year ago,"It's good but while approaching holiday's the staffs can't as fast as customers orders. Need to improve the kitchen space and the staff's are less in the dining area, everytime has to approach them to clean the table."
Domino's Pizza Madurai,Welcome To My Dream World,1.0,4 months ago,"The Domino's app shows the order is Preparing but The delivery is made one hour after placing the order, but still showing your order is preparing...
If the order does not arrive on time,If the food is not hot,
My money was wasted and my time was also wasted because I ordered from Domino's Pizza and waited.
If orders like this continue to be delivered, how can we have a positive opinion of Domino's?

#dominospizza"
